id,query,hits,time,user_id,ip
1465,burger,27,2021-11-06 23:50:07,0,
1466,crab,64,2021-11-06 23:54:07,0,
1467,hibachi,0,2021-11-06 23:54:27,0,
1468,crab cake,73,2021-11-06 23:54:45,0,
1469,crab cake,73,2021-11-06 23:54:47,0,
1470,60062,0,2021-11-06 23:55:02,0,
1471,steak,53,2021-11-06 23:55:45,0,
1472,hibachi,0,2021-11-06 23:56:01,0,
1473,burger,27,2021-11-06 23:56:08,0,
1474,steak,53,2021-11-06 23:56:54,0,
1475,/index/thinkapp/invokefunction,1,2021-11-07 0:02:34,0,
1476,burger,27,2021-11-07 0:04:56,0,
1477,chicken,73,2021-11-07 0:05:09,0,
1478,chicken,73,2021-11-07 0:05:11,0,
1479,burger,27,2021-11-07 0:29:38,0,
1480,crab,64,2021-11-07 0:30:52,0,
1481,bone fish,28,2021-11-07 1:05:11,0,
1482,bone fish,28,2021-11-07 1:05:50,0,
1483,bone fish,28,2021-11-07 1:05:52,0,
1484,italian,54,2021-11-07 2:04:29,0,
1485,60062,0,2021-11-07 2:04:37,0,
1486,maestro,0,2021-11-07 3:50:08,0,
1487,joes live,19,2021-11-07 6:13:46,0,
1488,logan square,14,2021-11-07 8:42:38,0,
1489,/index/thinkapp/invokefunction,1,2021-11-07 12:33:58,0,
1490,wildfire,55,2021-11-07 14:01:39,0,
1491,wildfire,55,2021-11-07 14:01:40,0,
1492,60085,0,2021-11-07 14:05:14,0,
1493,60085,0,2021-11-07 14:05:54,0,
1494,sushi,22,2021-11-07 15:23:13,0,
1495,55317,0,2021-11-07 15:24:57,0,
1496,chicken and waffles,74,2021-11-07 15:27:02,0,
1497,55317,0,2021-11-07 15:27:52,0,
1498,55317,0,2021-11-07 15:28:03,0,
1499,55317,0,2021-11-07 15:28:09,0,
1500,minnesota locations,41,2021-11-07 15:34:50,0,
1501,joes,8,2021-11-07 16:07:31,0,
1502,beatrix,46,2021-11-07 16:19:39,0,
1503,italian,54,2021-11-07 16:20:01,0,
1504,beatrix,46,2021-11-07 16:20:17,0,
1505,55346,0,2021-11-07 16:23:52,0,
1506,three dots,45,2021-11-07 17:02:37,0,
1507,three dots,45,2021-11-07 17:02:40,0,
1508,three dots,45,2021-11-07 17:02:42,0,
1509,three dots,45,2021-11-07 17:02:42,0,
1510,/index/thinkapp/invokefunction,1,2021-11-07 17:03:15,0,
1511,pancakes,5,2021-11-07 17:03:44,0,
1512,burger,27,2021-11-07 17:11:47,0,
1513,burger,27,2021-11-07 17:12:58,0,
1514,burger,27,2021-11-07 17:13:12,0,
1515,brunch,28,2021-11-07 17:24:21,0,
1516,60446,0,2021-11-07 17:32:15,0,
1517,quartino,0,2021-11-07 17:34:46,0,
1518,italian,54,2021-11-07 17:34:54,0,
1519,magianos,0,2021-11-07 18:02:28,0,
1520,chicago,135,2021-11-07 18:08:37,0,
1521,chicago,135,2021-11-07 18:12:36,0,
1522,burgers,21,2021-11-07 18:14:40,0,
1523,hub 51,23,2021-11-07 18:47:46,0,
1524,oak brook,46,2021-11-07 19:27:03,0,
1525,thanksgiving dinner,81,2021-11-07 19:36:37,0,
1526,thanksgiving dinner,81,2021-11-07 19:37:54,0,
1527,thanksgiving dinner,81,2021-11-07 19:46:39,0,
1528,restaurant,101,2021-11-07 19:51:02,0,
1529,restaurant,101,2021-11-07 19:51:51,0,
1530,restaurants,81,2021-11-07 19:52:09,0,
1531,restaurants,81,2021-11-07 19:52:12,0,
1532,restaurants,81,2021-11-07 19:52:26,0,
1533,20854,0,2021-11-07 20:40:22,0,
1534,chinese,7,2021-11-07 21:26:12,0,
1535,pasta,68,2021-11-07 21:28:10,0,
1536,l woods,22,2021-11-07 21:50:42,0,
1537,l woods,22,2021-11-07 21:50:50,0,
1538,sea food,80,2021-11-07 22:02:32,0,
1539,chinese,7,2021-11-07 22:03:55,0,
1540,big bowl,73,2021-11-07 22:43:28,0,
1541,big bowl express,78,2021-11-07 22:44:04,0,
1542,satanello,0,2021-11-07 22:44:38,0,
1543,saranello,21,2021-11-07 22:44:49,0,
1544,champaign,0,2021-11-07 23:11:15,0,
1545,champaign,0,2021-11-07 23:11:40,0,
1546,italian,54,2021-11-07 23:22:27,0,
1547,italian,54,2021-11-07 23:23:28,0,
1548,beatrix,46,2021-11-07 23:47:16,0,
1549,happy hour,50,2021-11-08 0:07:23,0,
1550,happy hour,50,2021-11-08 0:10:09,0,
1551,san diego,26,2021-11-08 0:55:01,0,
1552,locations,30,2021-11-08 0:55:58,0,
1553,ramen,14,2021-11-08 2:00:49,0,
1554,summer house,88,2021-11-08 2:08:12,0,
1555,summer house,88,2021-11-08 2:08:15,0,
1556,new york city,88,2021-11-08 2:17:50,0,
1557,new york city,88,2021-11-08 2:17:57,0,
1558,frankies,1,2021-11-08 4:31:38,0,
1559,index/thinktemplatedriverfile/write,1,2021-11-08 5:15:03,0,
1560,index/thinkapp/invokefunction,1,2021-11-08 5:15:06,0,
1561,index/thinkcontainer/invokefunction,1,2021-11-08 5:15:07,0,
1562,index/thinkcontainer/invokefunction,1,2021-11-08 5:15:08,0,
1563,index/thinkrequest/input,1,2021-11-08 5:15:12,0,
1564,index/thinkviewdriverphp/display,1,2021-11-08 5:15:14,0,
1565,captcha,0,2021-11-08 5:15:23,0,
1566,captcha,0,2021-11-08 5:15:24,0,
1567,captcha,0,2021-11-08 5:15:25,0,
1568,l woods,22,2021-11-08 6:03:26,0,
1569,l woods,22,2021-11-08 6:03:31,0,
1570,index/thinktemplatedriverfile/write,1,2021-11-08 7:18:33,0,
1571,index/thinkapp/invokefunction,1,2021-11-08 7:18:36,0,
1572,index/thinkcontainer/invokefunction,1,2021-11-08 7:18:37,0,
1573,index/thinkcontainer/invokefunction,1,2021-11-08 7:18:40,0,
1574,index/thinkrequest/input,1,2021-11-08 7:18:42,0,
1575,index/thinkviewdriverphp/display,1,2021-11-08 7:18:43,0,
1576,captcha,0,2021-11-08 7:18:52,0,
1577,captcha,0,2021-11-08 7:18:53,0,
1578,captcha,0,2021-11-08 7:18:54,0,
1579,/index/thinkapp/invokefunction,1,2021-11-08 7:45:49,0,
1580,mexican,11,2021-11-08 8:10:43,0,
1581,beatrix oak brook,58,2021-11-08 11:51:28,0,
1582,pizza,22,2021-11-08 11:58:20,0,
1583,33301,0,2021-11-08 13:00:58,0,
1584,red lobster,51,2021-11-08 13:01:41,0,
1585,shrimp,11,2021-11-08 13:02:08,0,
1586,red lobster,51,2021-11-08 13:02:18,0,
1587,red lobster,51,2021-11-08 13:05:24,0,
1588,red lobster,51,2021-11-08 13:05:36,0,
1589,/index/thinkapp/invokefunction,1,2021-11-08 13:15:41,0,
1590,bbq,26,2021-11-08 13:29:07,0,
1591,petterinos,0,2021-11-08 13:39:57,0,
1592,donuts,1,2021-11-08 14:00:02,0,
1593,wildfire,55,2021-11-08 15:23:38,0,
1594,wildfire thanksgiving,68,2021-11-08 15:34:12,0,
1595,steak,53,2021-11-08 16:05:47,0,
1596,oak brook,46,2021-11-08 16:06:23,0,
1597,entertainments restaurants,81,2021-11-08 16:08:06,0,
1598,60611,1,2021-11-08 16:24:45,0,
1599,chicago,135,2021-11-08 16:25:30,0,
1600,asisan chicago,135,2021-11-08 16:26:52,0,
1601,asian chicago,135,2021-11-08 16:26:59,0,
1602,big bowl chicago,169,2021-11-08 16:27:36,0,
1603,big bowl chicago,169,2021-11-08 16:27:39,0,
1604,60611,1,2021-11-08 16:29:30,0,
1605,prorcellino,0,2021-11-08 16:29:34,0,
1606,italian,55,2021-11-08 16:35:43,0,
1607,italian,55,2021-11-08 16:35:46,0,
1608,italian,55,2021-11-08 16:35:49,0,
1609,italian,55,2021-11-08 16:35:49,0,
1610,carmines,0,2021-11-08 16:36:22,0,
1611,carmines,0,2021-11-08 16:36:24,0,
1612,carmines,0,2021-11-08 16:36:26,0,
1613,carmines,0,2021-11-08 16:36:26,0,
1614,carmine’s,0,2021-11-08 16:36:32,0,
1615,/index/thinkapp/invokefunction,1,2021-11-08 16:52:22,0,
1616,big bowl,74,2021-11-08 16:56:19,0,
1617,joes,8,2021-11-08 17:27:59,0,
1618,texas,21,2021-11-08 17:55:11,0,
1619,texas,21,2021-11-08 17:57:52,0,
1620,texas,21,2021-11-08 17:58:41,0,
1621,rpm wine club,101,2021-11-08 18:21:27,6,
1622,game day,66,2021-11-08 18:32:57,6,
1623,game day,66,2021-11-08 18:36:48,6,
1624,etta,2,2021-11-08 19:30:17,0,
1625,summer house santa monica,96,2021-11-08 19:42:52,0,
1626,tacos,10,2021-11-08 20:11:38,0,
1627,antico posto,13,2021-11-08 20:11:39,0,
1628,antico posto,13,2021-11-08 20:11:45,0,
1629,tacos,10,2021-11-08 20:16:44,0,
1630,mn,0,2021-11-08 21:12:28,0,
1631,55414,0,2021-11-08 21:12:35,0,
1632,55414,0,2021-11-08 21:12:40,0,
1633,thanksgiving,24,2021-11-08 21:16:56,0,
1634,tucci italian,56,2021-11-08 21:23:42,0,
1635,60134,0,2021-11-08 23:18:04,0,
1636,fat rosies,5,2021-11-08 23:36:46,0,
1637,fat rosies,5,2021-11-08 23:36:52,0,
1638,francescas,0,2021-11-08 23:37:10,0,
1639,fran,14,2021-11-08 23:37:23,0,
1640,frans,0,2021-11-08 23:37:39,0,
1641,franc,1,2021-11-08 23:37:44,0,
1642,sea food,82,2021-11-08 23:51:12,0,
1643,new restaurants,105,2021-11-08 23:58:49,0,
1644,lunch to go,41,2021-11-09 0:09:04,6,
1645,desserts for deliverylunch to go,12,2021-11-09 0:10:02,6,
1646,desserts for delivery,105,2021-11-09 0:10:12,6,
1647,chicago,135,2021-11-09 1:04:19,0,
1648,chicago,135,2021-11-09 2:10:59,0,
1649,grand lux cafe,36,2021-11-09 2:37:55,0,
1650,steak,53,2021-11-09 3:19:19,0,
1651,washington dc,42,2021-11-09 3:42:02,0,
1652,steak,53,2021-11-09 3:50:23,0,
1653,italian,55,2021-11-09 3:55:13,0,
1654,italian,55,2021-11-09 3:55:15,0,
1655,burger,27,2021-11-09 6:21:13,0,
1656,burger,27,2021-11-09 6:22:09,0,
1657,gibson,0,2021-11-09 11:37:57,0,
1658,asian,4,2021-11-09 13:13:48,0,
1659,asian,4,2021-11-09 13:16:48,0,
1660,big bowl,74,2021-11-09 13:17:20,0,
1661,/index/thinkapp/invokefunction,1,2021-11-09 13:44:56,0,
1662,wildfire,55,2021-11-09 14:16:25,0,
1663,new restaurants,105,2021-11-09 14:32:08,0,
1664,wildfire,55,2021-11-09 14:35:51,0,
1665,mortons,0,2021-11-09 14:55:45,0,
1666,60503,0,2021-11-09 15:01:31,0,
1667,60503,0,2021-11-09 15:05:10,0,
1668,schaumburg,25,2021-11-09 15:23:47,0,
1669,beatrix,46,2021-11-09 15:33:00,0,
1670,beatrix,46,2021-11-09 15:33:19,0,
1671,beatrix,46,2021-11-09 15:35:08,0,
1672,chicago,135,2021-11-09 15:42:48,0,
1673,wildfire schaumburg,59,2021-11-09 15:44:25,0,
1674,chicagoland suburbs,17,2021-11-09 15:46:22,0,
1675,chicago suburbs,136,2021-11-09 15:46:59,0,
1676,60564,0,2021-11-09 15:51:16,0,
1677,naperville,0,2021-11-09 15:51:33,0,
1678,60540,0,2021-11-09 15:51:48,0,
1679,illinois,36,2021-11-09 15:52:04,0,
1680,illinois,36,2021-11-09 15:53:23,0,
1681,60540,0,2021-11-09 15:53:27,0,
1682,60540,0,2021-11-09 16:40:31,0,
1683,chicago,135,2021-11-09 17:49:14,0,
1684,rosemont,22,2021-11-09 17:50:23,0,
1685,wildfire,55,2021-11-09 18:15:27,0,
1686,wildfire,55,2021-11-09 18:17:23,0,
1687,summer house,89,2021-11-09 18:20:45,0,
1688,summer house,89,2021-11-09 18:20:48,0,
1689,chinese,7,2021-11-09 18:22:56,0,
1690,seafood,63,2021-11-09 18:32:33,0,
1691,seafood,63,2021-11-09 18:32:36,0,
1692,brunch,28,2021-11-09 18:33:26,0,
1693,gibsons,0,2021-11-09 18:44:16,0,
1694,wildfire,55,2021-11-09 18:48:47,0,
1695,wildfire,55,2021-11-09 18:48:55,0,
1696,sea food,82,2021-11-09 18:58:26,0,
1697,beatrice,0,2021-11-09 19:25:19,0,
1698,three dots and a dash,46,2021-11-09 19:27:05,0,
1699,p f chang,18,2021-11-09 19:57:43,0,
1700,il porcilino,0,2021-11-09 20:14:35,0,
1701,oak brook,46,2021-11-09 20:47:07,0,
1702,oak brook,46,2021-11-09 20:47:09,0,
1703,oak brook,46,2021-11-09 20:47:29,0,
1704,tacos,10,2021-11-09 20:58:00,0,
1705,60093,0,2021-11-09 21:21:39,0,
1706,check points,67,2021-11-09 21:23:11,0,
1707,check points,67,2021-11-09 21:23:14,0,
1708,check points,67,2021-11-09 21:23:17,0,
1709,check points,67,2021-11-09 21:23:17,0,
1710,check points,67,2021-11-09 21:23:41,0,
1711,chicago,135,2021-11-09 21:35:19,0,
1712,chicago,135,2021-11-09 22:02:42,0,
1713,chicago,135,2021-11-09 22:02:54,0,
1714,chicago,135,2021-11-09 22:03:42,0,
1715,chicago,135,2021-11-09 22:03:45,0,
1716,chicago,135,2021-11-09 22:03:48,0,
1717,60093,0,2021-11-09 22:10:19,0,
1718,60093,0,2021-11-09 22:10:31,0,
1719,60093,0,2021-11-09 22:10:31,0,
1720,near chicago theater,143,2021-11-09 22:14:10,0,
1721,near chicago theater,143,2021-11-09 22:14:14,0,
1722,maggianos,2,2021-11-09 22:24:01,0,
1723,happy hour,50,2021-11-09 22:33:49,0,
1724,happy hour,50,2021-11-09 22:33:55,0,
1725,happy hour,50,2021-11-09 22:34:39,0,
1726,restaurants in chicago  area,161,2021-11-09 23:41:55,0,
1727,restaurants in chicago  area,161,2021-11-09 23:41:58,0,
1728,restaurants in chicago  area,161,2021-11-09 23:42:01,0,
1729,restaurants in chicago  area,161,2021-11-09 23:42:04,0,
1730,restaurants in chicago  area,161,2021-11-09 23:42:08,0,
1731,restaurants in chicago  area,161,2021-11-09 23:43:57,0,
1732,restaurants in chicago  area,161,2021-11-09 23:45:28,0,
1733,restaurants in chicago  area,161,2021-11-09 23:47:15,0,
1734,hugos,0,2021-11-09 23:57:27,0,
1735,b b que,48,2021-11-10 0:02:22,0,
1736,b b que,48,2021-11-10 0:02:24,0,
1737,b b que,48,2021-11-10 0:02:26,0,
1738,b b que,48,2021-11-10 0:02:27,0,
1739,florida,7,2021-11-10 0:46:34,0,
1740,naples florida,7,2021-11-10 0:46:53,0,
1741,naples florida,7,2021-11-10 0:47:08,0,
1742,naples florida,7,2021-11-10 0:47:12,0,
1743,joe’s,46,2021-11-10 1:08:13,0,
1744,oak brook,46,2021-11-10 1:12:51,0,
1745,rosebud,0,2021-11-10 1:15:10,0,
1746,italian,55,2021-11-10 1:15:19,0,
1747,aba,39,2021-11-10 2:29:43,0,
1748,60656,0,2021-11-10 2:39:12,0,
1749,hannukah menu,98,2021-11-10 2:40:36,0,
1750,restaurant choice in chicago suburbs,171,2021-11-10 2:43:04,0,
1751,fish,26,2021-11-10 2:47:07,0,
1752,restaurant choice in chicago suburbs,171,2021-11-10 2:50:18,0,
1753,restaurant choice in chicago suburbs,171,2021-11-10 2:50:27,0,
1754,restaurants in western suburbs,83,2021-11-10 2:51:06,0,
1755,restaurants in western suburbs,83,2021-11-10 2:51:44,0,
1756,restaurant choice in chicago suburbs,171,2021-11-10 2:51:46,0,
1757,restaurants in western suburbs,83,2021-11-10 2:52:00,0,
1758,schomburg,0,2021-11-10 3:29:06,0,
1759,schomburg,0,2021-11-10 3:32:54,0,
1760,steak,53,2021-11-10 3:38:14,0,
1761,/index/thinkapp/invokefunction,1,2021-11-10 3:44:01,0,
1762,french,27,2021-11-10 4:16:24,0,
1763,thanksgiving,24,2021-11-10 4:33:42,0,
1764,french,27,2021-11-10 4:40:17,0,
1765,lwoods,1,2021-11-10 5:49:16,0,
1766,las vegas,44,2021-11-10 5:59:02,0,
1767,las vegas,44,2021-11-10 5:59:04,0,
1768,las vegas,44,2021-11-10 6:00:02,0,
1769,las vegas,44,2021-11-10 6:00:06,0,
1770,las vegas,44,2021-11-10 6:02:00,0,
1771,naperville,0,2021-11-10 11:32:09,0,
1772,naperville,0,2021-11-10 11:33:24,0,
1773,pappadeaux,0,2021-11-10 11:34:09,0,
1774,gold,8,2021-11-10 14:18:08,0,
1775,gold status,8,2021-11-10 14:18:16,0,
1776,/index/thinkapp/invokefunction,1,2021-11-10 14:31:07,0,
1777,60605,0,2021-11-10 15:34:48,0,
1778,employee assistance plan,17,2021-11-10 16:31:26,0,
1779,employee assistance program,21,2021-11-10 16:31:40,0,
1780,dan diego,1,2021-11-10 16:58:58,0,
1781,santa,38,2021-11-10 17:18:48,0,
1782,which states,7,2021-11-10 17:25:48,0,
1783,locations in the us,30,2021-11-10 17:26:16,0,
1784,list of locations in the us,59,2021-11-10 17:27:03,0,
1785,list of locations in the us,59,2021-11-10 17:27:53,0,
1786,list of locations in the us,59,2021-11-10 17:27:58,0,
1787,just a list of locations in the us,91,2021-11-10 17:28:16,0,
1788,mona mi gabi,37,2021-11-10 17:34:51,0,
1789,meli's,2,2021-11-10 17:36:03,0,
1790,pizza,22,2021-11-10 17:39:32,0,
1791,pizza,22,2021-11-10 17:39:34,0,
1792,pizza,22,2021-11-10 17:39:36,0,
1793,pizza,22,2021-11-10 17:39:38,0,
1794,pizza,22,2021-11-10 17:44:07,0,
1795,rib tips,30,2021-11-10 17:44:29,0,
1796,chicken wings,74,2021-11-10 17:45:25,0,
1797,chicken wings,74,2021-11-10 17:45:29,0,
1798,chicken wings,74,2021-11-10 17:45:33,0,
1799,chicken wings,74,2021-11-10 17:45:33,0,
1800,burgers,20,2021-11-10 17:46:02,0,
1801,chicken wings,74,2021-11-10 17:48:40,0,
1802,tacos,10,2021-11-10 18:21:08,0,
1803,big bowl,74,2021-11-10 19:37:04,0,
1804,maggianos,2,2021-11-10 20:03:28,0,
1805,iberico,0,2021-11-10 20:34:52,0,
1806,iberico,0,2021-11-10 20:34:53,0,
1807,aba,39,2021-11-10 20:37:30,0,
1808,7003,0,2021-11-10 20:41:04,0,
1809,sushi,22,2021-11-10 20:47:44,0,
1810,check gift card balance,73,2021-11-10 21:03:05,0,
1811,near me,33,2021-11-10 21:03:28,0,
1812,check gift card balance,73,2021-11-10 21:04:01,0,
1813,near me,33,2021-11-10 21:05:26,0,
1814,magianoa,0,2021-11-10 21:32:08,0,
1815,maggianos,2,2021-11-10 21:32:30,0,
1816,magianoa,0,2021-11-10 21:32:31,0,
1817,maggiano,3,2021-11-10 21:32:59,0,
1818,maggiano,3,2021-11-10 21:33:46,0,
1819,magianoa,0,2021-11-10 21:33:52,0,
1820,rpm steak,67,2021-11-10 22:14:23,0,
1821,crab cake,74,2021-11-10 22:40:06,0,
1822,evanston,2,2021-11-10 23:00:02,0,
1823,evanston,2,2021-11-10 23:04:26,0,
1824,pasta,70,2021-11-10 23:24:17,0,
1825,apples,11,2021-11-10 23:28:40,6,
1826,cater,1,2021-11-10 23:30:38,0,
1827,catering,16,2021-11-10 23:30:54,0,
1828,atlanta,0,2021-11-10 23:37:44,0,
1829,giftcard,2,2021-11-11 0:05:50,0,
1830,big bowl,75,2021-11-11 0:08:01,0,
1831,sarranello's,0,2021-11-11 0:11:01,0,
1832,bone fish,28,2021-11-11 0:28:31,0,
1833,balance,9,2021-11-11 0:35:12,0,
1834,burgers,20,2021-11-11 0:37:04,0,
1835,italian,55,2021-11-11 0:46:40,0,
1836,events,21,2021-11-11 1:15:03,0,
1837,thanksgiving,24,2021-11-11 1:56:25,0,
1838,corner bakery,9,2021-11-11 1:56:46,0,
1839,antico posto,13,2021-11-11 2:11:54,0,
1840,thanksgiving,24,2021-11-11 2:14:16,0,
1841,thanksgiving,24,2021-11-11 2:14:59,0,
1842,recipes,15,2021-11-11 2:49:42,0,
1843,chinese,7,2021-11-11 2:59:36,0,
1844,crab legs,68,2021-11-11 3:17:12,0,
1845,sushi san,30,2021-11-11 3:56:52,0,
1846,quesadilla,1,2021-11-11 4:36:57,0,
1847,steak,54,2021-11-11 4:37:13,0,
1848,/index/thinkapp/invokefunction,1,2021-11-11 7:03:13,0,
1849,italian,55,2021-11-11 9:48:23,0,
1850,petterinos,0,2021-11-11 12:38:33,0,
1851,taco,17,2021-11-11 13:22:21,0,
1852,thanksgiving,24,2021-11-11 14:29:33,0,
1853,/index/thinkapp/invokefunction,1,2021-11-11 14:50:35,0,
1854,hibachi,0,2021-11-11 15:03:49,0,
1855,hub 51,23,2021-11-11 15:45:14,0,
1856,austin,35,2021-11-11 16:04:47,0,
1857,chicago,136,2021-11-11 16:08:25,0,
1858,chicago,136,2021-11-11 16:08:29,0,
1859,chicago,136,2021-11-11 16:08:34,0,
1860,chicago,136,2021-11-11 16:08:34,0,
1861,location chicago,146,2021-11-11 16:08:44,0,
1862,location chicago,146,2021-11-11 16:08:50,0,
1863,location,61,2021-11-11 16:08:58,0,
1864,big bowl,75,2021-11-11 16:52:04,0,
1865,schaumburg,25,2021-11-11 16:52:56,0,
1866,participanting restaurant,100,2021-11-11 16:53:57,0,
1867,participanting restaurant,100,2021-11-11 16:54:15,0,
1868,participanting restaurant,100,2021-11-11 16:54:18,0,
1869,participating restaurant,101,2021-11-11 16:54:29,0,
1870,sushi,22,2021-11-11 17:05:37,0,
1871,tacos,10,2021-11-11 17:12:59,0,
1872,las vegas,45,2021-11-11 17:16:02,0,
1873,etta,2,2021-11-11 17:34:44,0,
1874,etta,2,2021-11-11 17:34:53,0,
1875,60540,0,2021-11-11 17:42:14,0,
1876,60540,0,2021-11-11 17:43:31,0,
1877,breakfast,19,2021-11-11 18:36:16,0,
1878,chicken,73,2021-11-11 19:44:25,0,
1879,milestones,1,2021-11-11 20:27:32,3,
1880,milwaukee,4,2021-11-11 20:33:18,0,
1881,slimes,0,2021-11-11 20:33:55,0,
1882,everest,4,2021-11-11 20:34:42,0,
1883,happy hour,50,2021-11-11 20:52:42,0,
1884,apple,21,2021-11-11 21:11:32,3,
1885,seafood,63,2021-11-11 21:23:03,0,
1886,happy hour,50,2021-11-11 22:10:37,0,
1887,steak,54,2021-11-11 22:26:26,0,
1888,diner market add,133,2021-11-11 22:54:56,0,
1889,dinner market card,111,2021-11-11 22:55:33,0,
1890,dinner market card,111,2021-11-11 22:55:36,0,
1891,dinner market card,111,2021-11-11 22:55:39,0,
1892,dinner market card,111,2021-11-11 22:55:54,0,
1893,diner market add,133,2021-11-11 22:56:17,0,
1894,gluten free,39,2021-11-11 23:15:04,0,
1895,steak,54,2021-11-11 23:40:44,0,
1896,/index/thinkapp/invokefunction,1,2021-11-11 23:51:51,0,
1897,american,17,2021-11-12 1:29:36,0,
1898,cancel reservation,119,2021-11-12 1:52:47,0,
1899,hamburgers,0,2021-11-12 2:07:53,0,
1900,60490,0,2021-11-12 2:10:31,0,
1901,sushi,22,2021-11-12 2:26:56,0,
1902,7003,0,2021-11-12 2:56:19,0,
1903,7003,0,2021-11-12 2:57:00,0,
1904,/index/thinkapp/invokefunction,1,2021-11-12 5:23:22,0,
1905,90028,0,2021-11-12 6:02:44,0,
1906,chicago,136,2021-11-12 7:56:25,0,
1907,chicago,136,2021-11-12 7:56:28,0,
1908,gibsons,0,2021-11-12 12:43:07,0,
1909,gibsons,0,2021-11-12 12:43:08,0,
1910,joes live,19,2021-11-12 13:21:19,0,
1911,sushi,22,2021-11-12 13:58:30,0,
1912,sushi,22,2021-11-12 13:58:31,0,
1913,sushi,22,2021-11-12 14:02:43,0,
1914,italian,55,2021-11-12 14:03:09,0,
1915,hamburgers,0,2021-11-12 14:16:41,0,
1916,etta,2,2021-11-12 14:56:59,0,
1917,thanksgiving,24,2021-11-12 15:04:49,0,
1918,pizza,22,2021-11-12 15:19:14,0,
1919,steak,54,2021-11-12 15:36:45,0,
1920,steak,54,2021-11-12 15:36:47,0,
1921,roka,0,2021-11-12 15:46:03,0,
1922,sexual harassment,0,2021-11-12 15:50:10,0,
1923,christmas,0,2021-11-12 15:56:28,0,
1924,petterinos,0,2021-11-12 15:56:52,0,
1925,christmas,0,2021-11-12 16:08:01,0,
1926,dumplings,2,2021-11-12 16:23:20,0,
1927,tomato soup recipe,110,2021-11-12 16:23:40,3,
1928,bao,18,2021-11-12 16:33:10,0,
1929,italian,55,2021-11-12 16:50:04,0,
1930,cafe ba-ba-reeba,34,2021-11-12 17:13:49,0,
1931,bao,18,2021-11-12 17:14:42,0,
1932,internship,0,2021-11-12 17:16:52,0,
1933,internship,0,2021-11-12 17:17:53,0,
1934,/index/thinkapp/invokefunction,1,2021-11-12 17:29:33,0,
1935,60661,0,2021-11-12 17:48:22,0,
1936,gift guide,42,2021-11-12 17:48:51,3,
1937,60661,0,2021-11-12 17:49:32,0,
1938,ramen,16,2021-11-12 18:07:23,0,
1939,my gift cards,22,2021-11-12 18:14:40,0,
1940,rewards,1,2021-11-12 18:19:00,0,
1941,rewards,1,2021-11-12 18:19:06,0,
1942,rewards,1,2021-11-12 18:19:09,0,
1943,rewards,1,2021-11-12 18:19:10,0,
1944,rewards,1,2021-11-12 18:19:36,0,
1945,rewards,1,2021-11-12 18:19:36,0,
1946,rewards,1,2021-11-12 18:19:37,0,
1947,rewards,1,2021-11-12 18:19:37,0,
1948,rewards,1,2021-11-12 18:19:38,0,
1949,rewards,1,2021-11-12 18:19:38,0,
1950,rewards,1,2021-11-12 18:19:39,0,
1951,rewards,1,2021-11-12 18:19:39,0,
1952,rewards,1,2021-11-12 18:19:39,0,
1953,rewards program,20,2021-11-12 18:19:53,0,
1954,rewards program,20,2021-11-12 18:19:54,0,
1955,rewards program,20,2021-11-12 18:19:55,0,
1956,japanese,14,2021-11-12 18:26:08,0,
1957,tacos,10,2021-11-12 18:37:07,0,
1958,bar sienna,69,2021-11-12 18:39:47,0,
1959,baton rouge,0,2021-11-12 18:43:59,0,
1960,seafood,63,2021-11-12 18:48:17,0,
1961,seafood,63,2021-11-12 18:48:19,0,
1962,italian,55,2021-11-12 19:05:12,0,
1963,italian,55,2021-11-12 19:05:15,0,
1964,italian,55,2021-11-12 19:05:17,0,
1965,gift card balance,32,2021-11-12 19:31:09,0,
1966,60160,0,2021-11-12 19:36:42,0,
1967,60160,0,2021-11-12 19:40:32,0,
1968,rpm steak,68,2021-11-12 19:43:50,0,
1969,rpm steak,68,2021-11-12 19:43:53,0,
1970,beatrix,47,2021-11-12 20:07:07,0,
1971,55424,0,2021-11-12 20:26:12,0,
1972,las vegas,45,2021-11-12 20:30:13,0,
1973,italian,55,2021-11-12 20:43:11,0,
1974,italian,55,2021-11-12 20:46:01,0,
1975,prime rib,58,2021-11-12 20:46:30,0,
1976,check gift card value,73,2021-11-12 21:29:39,0,
1977,check gift card balancee,71,2021-11-12 21:30:21,0,
1978,check gift card balance,75,2021-11-12 21:30:30,0,
1979,check gift card balance,75,2021-11-12 21:30:51,0,
1980,/index/thinkapp/invokefunction,1,2021-11-12 21:47:09,0,
1981,login,1,2021-11-12 21:48:33,0,
1982,login,1,2021-11-12 21:52:44,0,
1983,wildfire,55,2021-11-12 22:05:35,0,
1984,chicago illinois,137,2021-11-12 22:25:44,0,
1985,joes stone crab,70,2021-11-12 22:31:49,0,
1986,north aurora,73,2021-11-12 23:10:37,0,
1987,north aurora,73,2021-11-12 23:10:39,0,
1988,naperville il,0,2021-11-12 23:11:07,0,
1989,new restaurants,106,2021-11-12 23:11:46,0,
1990,gibsons,0,2021-11-12 23:22:41,0,
1991,steak,54,2021-11-12 23:22:53,0,
1992,leonids,0,2021-11-12 23:26:46,0,
1993,leonids,0,2021-11-12 23:27:34,0,
1994,chicago,136,2021-11-12 23:54:15,0,
1995,sushi,22,2021-11-13 0:09:16,0,
1996,food,76,2021-11-13 0:30:48,0,
